SpeciesA,SpeciesB,Interaction,location,reference,notes,,,,,,,,,,,,,,,,
Amomum dealbatum,Homo sapiens,frugivory,"Mizoram, India","Hazarika, T.k. Lalramchuana. Nautiyal. B.P. 2011. Studies on wild edible fruits of Mizoram, India used as ethno-medicine. Genet Resour Crop Evol. 59. 1767-1778",,,,,,,,,,,,,,,,,
Annona squamosa,Homo sapiens,frugivory,"Mizoram, India","Hazarika, T.k. Lalramchuana. Nautiyal. B.P. 2011. Studies on wild edible fruits of Mizoram, India used as ethno-medicine. Genet Resour Crop Evol. 59. 1767-1779",,,,,,,,,,,,,,,,,
Antidesma bunius,Homo sapiens,frugivory,"Mizoram, India","Hazarika, T.k. Lalramchuana. Nautiyal. B.P. 2011. Studies on wild edible fruits of Mizoram, India used as ethno-medicine. Genet Resour Crop Evol. 59. 1767-1780",,,,,,,,,,,,,,,,,
Aporosa octandra,Homo sapiens,frugivory,"Mizoram, India","Hazarika, T.k. Lalramchuana. Nautiyal. B.P. 2011. Studies on wild edible fruits of Mizoram, India used as ethno-medicine. Genet Resour Crop Evol. 59. 1767-1781",,,,,,,,,,,,,,,,,
Ardisia macrocarpa,Homo sapiens,frugivory,"Mizoram, India","Hazarika, T.k. Lalramchuana. Nautiyal. B.P. 2011. Studies on wild edible fruits of Mizoram, India used as ethno-medicine. Genet Resour Crop Evol. 59. 1767-1782",,,,,,,,,,,,,,,,,
Ardisia paniculata,Homo sapiens,frugivory,"Mizoram, India","Hazarika, T.k. Lalramchuana. Nautiyal. B.P. 2011. Studies on wild edible fruits of Mizoram, India used as ethno-medicine. Genet Resour Crop Evol. 59. 1767-1783",,,,,,,,,,,,,,,,,
Artocarpus chama,Homo sapiens,frugivory,"Mizoram, India","Hazarika, T.k. Lalramchuana. Nautiyal. B.P. 2011. Studies on wild edible fruits of Mizoram, India used as ethno-medicine. Genet Resour Crop Evol. 59. 1767-1784",,,,,,,,,,,,,,,,,
Artocarpus lakoocha,Homo sapiens,frugivory,"Mizoram, India","Hazarika, T.k. Lalramchuana. Nautiyal. B.P. 2011. Studies on wild edible fruits of Mizoram, India used as ethno-medicine. Genet Resour Crop Evol. 59. 1767-1785",,,,,,,,,,,,,,,,,
Averrhoa carambola,Homo sapiens,frugivory,"Mizoram, India","Hazarika, T.k. Lalramchuana. Nautiyal. B.P. 2011. Studies on wild edible fruits of Mizoram, India used as ethno-medicine. Genet Resour Crop Evol. 59. 1767-1786",,,,,,,,,,,,,,,,,
Averrhoaceae,Homo sapiens,frugivory,"Mizoram, India","Hazarika, T.k. Lalramchuana. Nautiyal. B.P. 2011. Studies on wild edible fruits of Mizoram, India used as ethno-medicine. Genet Resour Crop Evol. 59. 1767-1787",,,,,,,,,,,,,,,,,
Baccaurea ramiflora,Homo sapiens,frugivory,"Mizoram, India","Hazarika, T.k. Lalramchuana. Nautiyal. B.P. 2011. Studies on wild edible fruits of Mizoram, India used as ethno-medicine. Genet Resour Crop Evol. 59. 1767-1788",,,,,,,,,,,,,,,,,
Bischofia javanica,Homo sapiens,frugivory,"Mizoram, India","Hazarika, T.k. Lalramchuana. Nautiyal. B.P. 2011. Studies on wild edible fruits of Mizoram, India used as ethno-medicine. Genet Resour Crop Evol. 59. 1767-1789",,,,,,,,,,,,,,,,,
Bridelia monoica,Homo sapiens,frugivory,"Mizoram, India","Hazarika, T.k. Lalramchuana. Nautiyal. B.P. 2011. Studies on wild edible fruits of Mizoram, India used as ethno-medicine. Genet Resour Crop Evol. 59. 1767-1790",,,,,,,,,,,,,,,,,
Bruinsmia polysperma,Homo sapiens,frugivory,"Mizoram, India","Hazarika, T.k. Lalramchuana. Nautiyal. B.P. 2011. Studies on wild edible fruits of Mizoram, India used as ethno-medicine. Genet Resour Crop Evol. 59. 1767-1791",,,,,,,,,,,,,,,,,
Carallia brachiata,Homo sapiens,frugivory,"Mizoram, India","Hazarika, T.k. Lalramchuana. Nautiyal. B.P. 2011. Studies on wild edible fruits of Mizoram, India used as ethno-medicine. Genet Resour Crop Evol. 59. 1767-1792",,,,,,,,,,,,,,,,,
Casearia tomentosa,Homo sapiens,frugivory,"Mizoram, India","Hazarika, T.k. Lalramchuana. Nautiyal. B.P. 2011. Studies on wild edible fruits of Mizoram, India used as ethno-medicine. Genet Resour Crop Evol. 59. 1767-1793",,,,,,,,,,,,,,,,,
Castanopsis tribuloides,Homo sapiens,frugivory,"Mizoram, India","Hazarika, T.k. Lalramchuana. Nautiyal. B.P. 2011. Studies on wild edible fruits of Mizoram, India used as ethno-medicine. Genet Resour Crop Evol. 59. 1767-1794",,,,,,,,,,,,,,,,,
Catunaregam spinosa,Homo sapiens,frugivory,"Mizoram, India","Hazarika, T.k. Lalramchuana. Nautiyal. B.P. 2011. Studies on wild edible fruits of Mizoram, India used as ethno-medicine. Genet Resour Crop Evol. 59. 1767-1795",,,,,,,,,,,,,,,,,
Choerospondias axillaris,Homo sapiens,frugivory,"Mizoram, India","Hazarika, T.k. Lalramchuana. Nautiyal. B.P. 2011. Studies on wild edible fruits of Mizoram, India used as ethno-medicine. Genet Resour Crop Evol. 59. 1767-1796",,,,,,,,,,,,,,,,,
Chrysophyllum lanceolatum,Homo sapiens,frugivory,"Mizoram, India","Hazarika, T.k. Lalramchuana. Nautiyal. B.P. 2011. Studies on wild edible fruits of Mizoram, India used as ethno-medicine. Genet Resour Crop Evol. 59. 1767-1797",,,,,,,,,,,,,,,,,
Coix lacryma-jobi,Homo sapiens,frugivory,"Mizoram, India","Hazarika, T.k. Lalramchuana. Nautiyal. B.P. 2011. Studies on wild edible fruits of Mizoram, India used as ethno-medicine. Genet Resour Crop Evol. 59. 1767-1798",,,,,,,,,,,,,,,,,
Crotalaria tetragona,Homo sapiens,frugivory,"Mizoram, India","Hazarika, T.k. Lalramchuana. Nautiyal. B.P. 2011. Studies on wild edible fruits of Mizoram, India used as ethno-medicine. Genet Resour Crop Evol. 59. 1767-1799",,,,,,,,,,,,,,,,,
Cyphomandra betacea,Homo sapiens,frugivory,"Mizoram, India","Hazarika, T.k. Lalramchuana. Nautiyal. B.P. 2011. Studies on wild edible fruits of Mizoram, India used as ethno-medicine. Genet Resour Crop Evol. 59. 1767-1800",,,,,,,,,,,,,,,,,
Daemonorops jenkinsiana,Homo sapiens,frugivory,"Mizoram, India","Hazarika, T.k. Lalramchuana. Nautiyal. B.P. 2011. Studies on wild edible fruits of Mizoram, India used as ethno-medicine. Genet Resour Crop Evol. 59. 1767-1801",,,,,,,,,,,,,,,,,
